AnimalID,Name,OutcomeType,AnimalType,AgeuponOutcome,Breed,Color,Quality,Sex,HairType,Mix,BreedGroup,MultiColored,Hour,Minute,Second,Year,Month,Day,LifeStage,DayPeriod
A691445,0,3,1,1096,1,5,0,0,1,1,1,0,15,7,0,2014,11,19,0,1
A684027,0,2,1,2921,116,36,1,1,0,1,1,0,9,16,0,2014,10,02,0,0
A711847,0,2,1,61,1,7,0,0,1,1,1,0,19,15,0,2015,11,07,1,0
A679907,0,1,1,31,1,11,2,0,1,1,1,0,17,31,0,2014,05,28,1,0
A690236,0,2,1,211,1,7,0,0,1,1,1,0,12,2,0,2015,01,02,1,0
A703618,0,0,0,731,2,8,1,1,0,1,1,0,15,59,0,2015,05,28,0,1
A567057,0,1,0,3651,27,17,0,0,0,1,0,0,13,41,0,2015,09,14,0,1
A681994,1,3,1,91,1,19,2,1,5,1,1,0,9,0,0,2014,06,23,1,0
A577832,0,0,1,1461,1,11,0,0,1,1,1,0,11,40,0,2014,05,06,0,0
A718547,1,2,0,731,17,4,1,1,0,1,6,0,14,23,0,2016,01,11,0,1
A715039,0,2,1,731,1,7,0,0,1,1,1,0,13,46,0,2015,12,28,0,1
A681413,0,2,0,731,17,5,1,1,0,1,6,0,16,24,0,2014,07,02,0,1
A697851,0,2,0,3651,13,4,1,1,0,1,0,0,17,38,0,2015,09,28,0,0
A697671,1,3,1,731,1,2,3,2,1,1,1,0,9,0,0,2015,03,10,0,0
A665684,0,2,0,61,15,0,2,0,1,1,4,0,12,18,0,2013,11,02,1,0
A713905,0,0,0,91,53,17,0,0,0,0,4,0,17,37,0,2015,10,24,1,0
A701128,0,3,0,1826,172,4,0,0,0,1,5,0,17,2,0,2015,05,05,0,0
A677221,1,2,0,181,17,9,1,1,0,1,6,0,11,31,0,2014,05,02,1,0
A705843,1,1,0,91,43,9,2,1,0,1,7,0,10,13,0,2015,06,25,1,0
A672065,0,2,0,731,13,28,1,1,0,1,0,0,12,50,0,2014,04,08,0,0
A669752,0,3,1,366,1,7,3,2,1,1,1,0,17,19,0,2014,01,03,0,0
A674691,0,3,1,121,1,5,2,1,5,1,1,0,16,5,0,2014,03,22,1,1
A685526,0,3,1,731,1,11,0,0,1,1,1,0,15,39,0,2014,08,18,0,1
A699901,0,0,0,731,15,9,1,1,1,1,4,0,11,7,0,2015,04,06,0,0
A712217,1,3,0,331,23,9,0,0,0,1,4,0,16,45,0,2015,09,23,1,1
A713854,0,2,1,31,1,6,0,0,1,1,1,0,19,31,0,2015,11,14,1,0
A710633,0,0,0,731,2,2,2,1,0,1,1,0,17,6,0,2015,09,01,0,0
A718739,0,3,0,731,22,20,0,0,1,1,7,0,0,0,0,2016,01,12,0,2
A696645,0,2,0,731,15,9,1,1,1,1,4,0,16,47,0,2015,03,04,0,1
A687411,1,3,1,366,1,7,3,2,1,1,1,0,9,0,0,2014,09,06,0,0
A684235,1,3,1,61,1,7,2,0,4,1,1,0,9,0,0,2014,07,22,1,0
A712470,0,0,0,1826,2,5,0,0,0,1,1,0,12,25,0,2015,10,04,0,0
A686890,0,2,0,301,38,4,0,0,0,1,0,0,17,22,0,2014,09,07,1,0
A655866,0,2,0,731,2,2,1,1,0,1,1,0,14,30,0,2013,10,13,0,1
A721108,0,0,0,366,19,13,0,0,0,1,7,0,15,27,0,2016,02,21,0,1
A672057,0,0,0,731,40,34,1,1,0,1,2,0,12,4,0,2014,02,04,0,0
A705881,1,1,1,1096,1,6,2,0,1,1,1,0,13,31,0,2015,06,22,0,1
A679773,0,0,0,2921,7,19,1,1,0,1,4,0,18,59,0,2014,05,29,0,0
A720082,1,3,0,15,17,29,2,0,0,1,6,0,0,0,0,2016,02,15,1,2
A671483,0,2,0,366,22,9,0,0,0,1,7,0,15,23,0,2014,02,04,0,1
A711900,1,3,1,15,1,11,3,2,1,1,1,0,16,39,0,2015,09,13,1,1
A708469,0,2,0,366,22,5,1,1,0,1,7,0,18,6,0,2015,08,01,0,0
A664887,0,2,1,91,1,5,1,1,1,1,1,0,16,56,0,2013,11,10,1,1
A609641,0,0,0,2556,52,5,1,1,0,1,5,0,18,4,0,2015,03,23,0,0
A664867,0,2,0,366,15,5,1,1,1,1,4,0,15,41,0,2013,10,17,0,1
A670235,1,3,0,3,2,2,3,2,0,1,1,0,15,12,0,2014,01,05,1,1
A671487,0,2,0,1461,22,8,1,1,0,1,7,0,16,54,0,2014,02,03,0,1
A643282,0,0,0,1461,2,0,0,0,0,1,1,0,11,42,0,2014,03,22,0,0
A571229,0,3,0,2556,2,12,0,0,0,1,1,0,8,11,0,2014,03,27,0,0
A611226,0,0,0,1461,32,0,0,0,0,1,3,0,14,50,0,2015,03,22,0,1
A713344,0,2,1,61,1,2,0,0,5,1,1,0,12,28,0,2015,11,22,1,0
A696035,0,0,0,121,2,13,2,0,0,1,1,0,19,27,0,2015,01,30,1,0
A687357,0,2,0,301,17,13,0,0,0,1,6,0,19,24,0,2014,09,07,1,0
A701024,0,0,0,2191,27,8,1,1,0,1,0,0,18,1,0,2015,04,24,0,0
A707627,0,2,1,61,1,6,1,1,1,1,1,0,18,51,0,2015,07,21,1,0
A686974,0,2,1,61,16,2,0,0,0,1,1,0,19,17,0,2014,09,19,1,0
A672107,0,2,1,366,1,9,0,0,5,1,1,0,9,9,0,2014,05,30,0,0
A693548,1,2,0,61,8,9,1,1,0,1,5,0,18,38,0,2014,12,14,1,0
A667288,0,2,0,731,31,5,1,1,0,1,0,0,12,13,0,2013,12,27,0,0
A712995,0,3,1,2921,1,5,2,0,1,1,1,0,17,8,0,2015,10,01,0,0
A720362,0,2,1,151,1,7,0,0,1,1,1,0,18,7,0,2016,02,11,1,0
A708637,1,3,1,731,1,15,2,1,1,1,1,0,9,0,0,2015,07,30,0,0
A672326,0,2,0,731,2,4,0,0,0,1,1,0,12,4,0,2014,02,25,0,0
A679025,0,0,0,2191,17,16,0,0,0,1,6,0,11,18,0,2014,05,16,0,0
A628417,0,1,0,1826,20,2,0,0,0,1,0,0,12,28,0,2015,02,27,0,0
A688263,1,1,1,1096,29,37,0,0,0,1,1,0,18,19,0,2014,09,18,0,0
A712876,1,1,1,31,1,5,2,0,1,1,1,0,13,32,0,2015,09,30,1,1
A675624,1,3,0,211,27,0,2,1,0,1,0,0,13,19,0,2014,04,03,1,1
A691258,1,3,0,731,8,9,0,0,0,1,5,0,16,5,0,2014,11,08,0,1
A687095,1,2,0,61,17,17,1,1,0,1,6,0,19,38,0,2014,09,04,1,0
A677515,1,3,1,22,1,2,2,1,1,1,1,0,11,32,0,2014,04,26,1,0
A662224,0,0,0,366,15,4,1,1,1,1,4,0,13,52,0,2014,01,16,0,1
A677447,0,2,0,1096,28,0,0,0,0,1,2,0,12,49,0,2014,06,19,0,0
A711454,1,2,1,31,1,11,0,0,5,1,1,0,18,18,0,2015,09,30,1,0
A707646,0,3,0,4016,40,9,0,0,0,1,2,0,14,45,0,2015,07,23,0,1
A694415,0,0,1,2921,1,11,0,0,1,1,1,0,18,57,0,2015,01,06,0,0
A659194,0,0,0,2921,15,5,0,0,1,1,4,0,14,40,0,2015,01,01,0,1
A687460,0,2,0,366,17,12,0,0,0,1,6,0,17,43,0,2015,06,23,0,0
A669914,0,3,0,731,36,9,2,1,0,1,3,0,14,21,0,2014,01,03,0,1
A679400,1,2,0,31,13,17,1,1,0,1,0,0,16,59,0,2014,05,25,1,1
A671213,0,2,0,366,28,8,1,1,0,1,2,0,18,43,0,2014,01,29,0,0
A711882,1,2,0,151,36,9,1,1,0,1,3,0,18,28,0,2015,09,17,1,0
A720327,0,2,0,731,87,8,2,0,0,1,6,0,15,13,0,2016,02,11,0,1
A652379,0,1,1,1461,1,5,0,0,5,0,1,0,15,13,0,2015,03,23,0,1
A703555,0,0,0,731,8,9,0,0,0,1,5,0,16,35,0,2015,05,28,0,1
A614777,0,0,0,1096,15,8,0,0,1,1,4,0,19,1,0,2015,03,13,0,0
A710950,1,3,1,121,1,11,2,0,1,1,1,0,9,0,0,2015,09,04,1,0
A690241,1,3,1,22,1,7,2,0,1,1,1,0,18,31,0,2014,10,16,1,0
A712937,0,2,0,301,8,9,1,1,0,1,5,0,17,44,0,2015,10,04,1,0
A674466,1,3,0,6,2,23,2,0,0,1,1,0,14,58,0,2014,03,13,1,1
A674075,0,3,0,366,6,5,1,1,0,1,3,0,14,52,0,2014,03,18,0,1
A679119,0,2,1,61,50,7,1,1,0,1,1,0,17,33,0,2014,05,20,1,0
A720523,0,0,0,3286,6,9,0,0,0,0,3,0,18,6,0,2016,02,20,0,0
A652774,0,2,1,271,1,7,0,0,1,1,1,0,9,27,0,2014,01,07,1,0
A711255,1,3,0,29,15,9,2,1,1,1,4,0,17,57,0,2015,09,04,1,0
A706968,1,2,1,731,1,5,0,0,5,1,1,0,12,15,0,2015,07,10,0,0
A680325,0,3,1,61,1,5,2,0,1,1,1,0,12,27,0,2014,07,07,1,0
A666977,0,2,1,91,1,7,0,0,1,1,1,0,18,21,0,2013,12,22,1,0
A673650,0,3,0,366,15,4,0,0,1,1,4,0,16,26,0,2015,09,06,0,1
A708388,1,3,1,151,1,2,2,0,1,1,1,0,9,0,0,2015,07,28,1,0
A717613,1,3,1,366,1,7,1,1,1,1,1,0,19,9,0,2015,12,15,0,0
A676613,0,0,1,1096,1,18,1,1,1,1,1,0,12,32,0,2014,04,16,0,0
A679223,0,0,0,1096,15,9,0,0,1,1,4,0,12,6,0,2014,05,18,0,0
A681244,1,3,1,22,1,11,2,1,1,1,1,0,12,46,0,2014,06,14,1,0
A665085,0,2,0,366,2,9,0,0,0,1,1,0,14,38,0,2014,07,19,0,1
A706272,0,2,1,61,1,5,0,0,1,1,1,0,17,2,0,2015,07,18,1,0
A691271,0,0,0,366,15,9,0,0,1,1,4,0,18,46,0,2014,11,04,0,0
A695706,1,3,1,731,1,5,3,2,1,1,1,0,9,0,0,2015,01,21,0,0
A676019,1,3,1,4,1,25,2,0,1,1,1,0,15,46,0,2014,04,03,1,1
A713966,0,2,0,151,5,5,1,1,0,1,1,0,15,1,0,2015,10,23,1,1
A672567,0,2,0,271,17,5,1,1,0,1,6,0,15,41,0,2014,04,06,1,1
A683158,1,2,1,61,1,5,1,1,5,1,1,0,18,52,0,2014,07,13,1,0
A670760,1,1,0,31,15,0,2,0,1,1,4,0,19,9,0,2014,01,13,1,0
A663817,0,2,0,1461,13,5,1,1,0,1,0,0,18,29,0,2013,10,12,0,0
A685711,1,2,0,366,39,0,0,0,0,0,0,0,17,31,0,2014,08,29,0,0
A693704,0,2,0,2191,99,0,1,1,3,1,1,0,13,52,0,2014,12,13,0,1
A695479,0,2,0,366,17,0,1,1,0,1,6,0,17,27,0,2015,12,21,0,0
A700961,0,2,1,121,1,7,0,0,1,1,1,0,17,7,0,2015,08,22,1,0
A680510,1,3,1,2,1,5,3,2,1,1,1,0,17,35,0,2014,06,03,1,0
A682126,1,3,1,8,1,5,3,2,1,1,1,0,19,14,0,2014,06,24,1,0
A675353,1,1,0,271,15,4,3,2,1,1,4,0,16,44,0,2014,03,26,1,1
A704432,1,3,0,7,15,9,3,2,1,1,4,0,18,52,0,2015,06,04,1,0
A694340,0,2,0,241,13,13,1,1,0,1,0,0,17,41,0,2015,01,04,1,0
A702771,0,0,1,1096,1,15,1,1,1,1,1,0,13,37,0,2015,05,19,0,1
A677449,0,3,0,731,52,5,0,0,0,1,5,0,15,57,0,2014,05,26,0,1
A701781,1,2,1,61,1,5,0,0,1,1,1,0,19,10,0,2015,06,09,1,0
A691804,0,0,0,731,2,5,0,0,0,1,1,0,17,34,0,2014,11,11,0,0
A715323,0,3,0,731,13,5,1,1,0,1,0,0,13,56,0,2015,11,30,0,1
A648948,0,0,0,1826,2,9,1,1,0,1,1,0,17,22,0,2014,07,04,0,0
A676265,0,2,0,1096,17,5,1,1,0,0,6,0,17,33,0,2014,05,01,0,0
A679269,0,0,0,1826,44,17,0,0,0,0,0,0,18,53,0,2014,05,19,0,0
A701267,1,3,1,22,1,2,2,0,1,1,1,0,17,36,0,2015,04,26,1,0
A711872,0,0,1,3651,1,7,1,1,4,1,1,0,18,35,0,2015,09,17,0,0
A701290,0,0,0,731,40,34,0,0,0,1,2,0,12,42,0,2015,04,27,0,0
A677892,0,2,0,731,87,9,0,0,0,1,6,0,17,47,0,2014,07,12,0,0
A709667,1,3,0,31,17,5,2,0,0,1,6,0,11,40,0,2015,08,12,1,0
A663653,0,3,1,61,1,2,1,1,1,1,1,0,17,42,0,2013,10,02,1,0
A681870,0,0,0,1096,82,20,2,1,0,1,3,0,14,18,0,2014,06,22,0,1
A695668,1,3,1,151,1,5,2,1,1,1,1,0,9,0,0,2015,01,21,1,0
A696600,1,3,1,731,1,7,3,2,1,0,1,0,9,0,0,2015,02,09,0,0
A703216,0,0,0,121,40,9,1,1,0,1,2,0,18,12,0,2015,05,22,1,0
A709142,0,2,0,61,15,0,0,0,1,1,4,0,18,56,0,2015,10,04,1,0
A705642,1,3,1,8,1,5,3,2,1,1,1,0,19,3,0,2015,06,19,1,0
A668138,1,2,0,61,13,5,1,1,0,1,0,0,15,51,0,2013,12,21,1,1
A682298,1,3,1,366,1,5,2,1,1,1,1,0,10,47,0,2014,06,30,0,0
A695615,0,0,0,241,13,28,0,0,0,1,0,0,13,22,0,2015,01,19,1,1
A671120,0,2,0,1461,40,19,0,0,0,1,2,0,12,24,0,2014,01,22,0,0
A530460,0,0,0,2556,108,5,1,1,8,1,5,0,15,47,0,2015,08,07,0,1
A696508,0,0,0,1096,23,9,0,0,0,1,4,0,17,4,0,2015,02,07,0,0
A617461,0,0,0,1096,159,5,0,0,6,0,1,0,12,21,0,2014,02,01,0,0
A704096,0,0,0,731,2,8,1,1,0,1,1,0,18,30,0,2015,06,03,0,0
A701485,1,3,1,22,1,7,3,2,1,1,1,0,17,1,0,2015,04,30,1,0
A678233,1,3,0,366,30,8,2,0,0,1,5,0,13,36,0,2014,05,22,0,1
A704871,0,2,0,1096,2,9,0,0,0,1,1,0,16,38,0,2015,07,09,0,1
A673341,0,2,0,366,84,16,1,1,0,1,1,0,17,29,0,2014,02,26,0,0
A686897,0,3,1,91,1,5,0,0,1,1,1,0,14,58,0,2014,09,18,1,1
A708902,0,3,0,731,39,27,1,1,0,1,0,0,17,46,0,2015,08,26,0,0
A719788,0,2,0,366,2,2,0,0,0,1,1,0,17,32,0,2016,02,06,0,0
A701987,1,2,1,61,1,7,1,1,4,1,1,0,19,26,0,2015,07,19,1,0
A669347,0,2,1,366,116,21,0,0,0,1,1,0,17,19,0,2013,12,23,0,0
A686141,0,0,0,3651,15,16,2,1,1,1,4,0,13,34,0,2014,08,18,0,1
A720387,0,2,1,731,1,14,1,1,4,1,1,0,12,19,0,2016,02,13,0,0
A717131,0,3,1,61,1,7,2,1,1,1,1,0,13,0,0,2015,12,16,1,1
A703118,1,3,1,22,1,7,3,2,1,1,1,0,18,59,0,2015,05,20,1,0
A673662,1,3,1,731,1,7,3,2,1,1,1,0,14,0,0,2014,03,01,0,1
A702372,0,3,0,366,2,9,2,0,0,1,1,0,12,51,0,2015,06,07,0,0
A688872,0,0,0,366,46,5,2,0,0,1,5,0,16,2,0,2014,10,06,0,1
A699147,0,3,1,2191,1,7,0,0,1,1,1,0,17,34,0,2015,05,11,0,0
A694112,0,2,0,1826,195,9,1,1,0,1,1,0,16,56,0,2014,12,24,0,1
A652259,0,3,0,366,37,32,0,0,0,0,5,0,11,58,0,2014,01,18,0,0
A687643,1,3,1,15,1,6,2,1,1,1,1,0,16,41,0,2014,09,08,1,1
A711058,1,3,1,22,1,7,3,2,1,1,1,0,14,5,0,2015,09,01,1,1
A663909,1,3,0,366,17,16,0,0,0,0,6,0,14,15,0,2013,10,02,0,1
A710248,0,0,0,61,15,0,0,0,1,1,4,0,18,25,0,2015,08,21,1,0
A681346,0,2,1,91,1,7,0,0,1,1,1,0,15,48,0,2014,06,29,1,1
A623449,0,2,0,1826,24,9,0,0,0,1,6,0,12,22,0,2014,01,05,0,0
A699307,1,3,1,15,1,7,3,2,1,1,1,0,14,51,0,2015,03,25,1,1
A691819,1,3,0,151,38,9,1,1,0,1,0,0,14,31,0,2014,11,15,1,1
A664514,0,2,1,91,50,7,2,0,0,1,1,0,18,51,0,2013,10,13,1,0
A715273,0,2,0,1461,13,0,0,0,0,0,0,0,17,44,0,2015,11,09,0,0
A680027,1,3,0,15,2,0,2,0,0,1,1,0,12,53,0,2014,06,07,1,0
A665725,0,2,0,731,2,5,0,0,0,1,1,0,17,53,0,2013,11,03,0,0
A689124,1,1,0,3286,2,2,2,0,0,1,1,0,17,53,0,2014,09,29,0,0
A610613,0,0,0,2921,40,32,0,0,0,1,2,0,18,23,0,2014,07,17,0,0
A711387,0,3,0,731,15,4,0,0,1,1,4,0,13,43,0,2015,09,14,0,1
A679576,1,3,1,731,1,5,2,0,1,1,1,0,17,33,0,2014,05,24,0,0
A679013,0,2,0,211,41,9,0,0,1,1,1,0,17,53,0,2014,05,19,1,0
A685695,0,2,1,331,1,11,1,1,1,1,1,0,19,17,0,2015,07,19,1,0
A694537,0,0,0,1461,7,9,0,0,0,0,4,0,11,31,0,2015,01,08,0,0
A709626,1,3,1,121,1,2,2,0,1,1,1,0,9,0,0,2015,08,12,1,0
A704330,0,2,0,61,13,4,1,1,0,1,0,0,11,46,0,2015,06,09,1,0
A702910,1,3,1,29,1,6,2,0,1,1,1,0,15,38,0,2015,05,19,1,1
A709960,1,2,0,61,15,9,0,0,4,1,4,0,17,47,0,2015,08,19,1,0
A666187,0,2,0,301,69,17,0,0,0,1,5,0,17,52,0,2013,11,02,1,0
A686329,1,3,1,29,1,5,2,1,1,1,1,0,17,11,0,2014,08,20,1,0
